"","Codigo_da_oportunidade","Classificacao_da_Oportunidade","Data_de_criacao","Faixa_de_Faturamento_Agregado","Data_Real_de_Encerramento_da_Opp2","numero_relacionamentos","numero_relacionamentos_convertidos","intervalo_tempo","ano","Valor_corrigido2","Forma_de_Contratacao_Agregado","Concorrentes","n_solucoes","Software","Comissão sobre Parceiros","Cybersecurity","Desdobramento de metas","ESG","Equilíbrio fiscal","Skill_dev","Gestão Estratégica","Gestão da Educação","Gestão da Operação","Gestão da Receita","Gestão da Saúde","Gestão da Segurança Pública","Gestão da Segurança Viária","Gestão de Gastos","Gestão de operações projetizadas","Gestão de pessoas","Processes Excellence","Produtos digitais","S_amp_OP_S_amp_OE","Transformação Digital","Treinamentos","Roadmap","Segmentacao","Carteira_Nova","Segmento_Agregado2","Total_HH","Custo_Total","Margem_Total","ID_cliente"
"1",12518,"Renovação",2021-04-23,"De 1 a 5 bilhões",2021-05-26,7,3,0.7,2021,1112337.43448766,"Sem Concorrência",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Bens Não Duráveis","Agronegócio",171,334802.7,0.575724424743415,95
"2",10767,"Novo",2020-03-23,"De 60,1 a 300 milhoes",2021-05-27,1,0,0,2021,445984.352553332,"Concorrência",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Energia",125.5,120951.02,0.644261705882353,263
"3",11825,"Renovação",2020-12-01,"De 301 a 500 milhões",2021-05-28,6,1,5.83,2021,523593.825136422,"Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Transporte e Logística",102,156401.91,0.608178522107017,437
"4",12583,"Renovação",2021-05-05,"Acima de 5 bilhões",2021-05-28,11,10,0.57,2021,4756797.27203017,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Saúde, Educação e Serviços Públicos","Administracao Publica",1386,2935648.5,0.190475283367989,252
"5",11389,"Recuperação",2020-09-01,"De 501 a 1 bilhão",2021-05-31,4,0,12.57,2021,301695.290699026,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Bens Duráveis","Demais Comercios",65,89227.5,0.612054347826087,386
"6",12142,"Renovação",2021-02-18,"De 1 a 5 bilhões",2021-05-31,7,4,5.7,2021,2811996.91265533,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Bens Duráveis","Ind. Farmacêutica",796,803068.31,0.625390875801749,449
"7",12234,"Renovação",2021-03-08,"Acima de 5 bilhões",2021-05-31,16,9,0.47,2021,1900909.912955,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Servicos Especializados",378,553941.96,0.61775357703521,523
"8",11924,"Renovação",2020-12-30,"De 501 a 1 bilhão",2021-06-07,3,1,9.43,2021,236081.294909168,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Serviços","Serviços Financeiros",44,81187.6,0.551282384314592,264
"9",12215,"Recuperação",2021-03-04,"De 15,1 a 60 milhões",2021-06-07,2,0,7.43,2021,542651.31768221,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Serviços","Energia",89,190821.53,0.54117031649184,762
"10",12233,"Renovação",2021-03-08,"Acima de 5 bilhões",2021-06-07,17,10,0.23,2021,3583736.43409509,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Servicos Especializados",782,1117663.44,0.593069747840263,523
"11",12272,"Recuperação",2021-03-15,"De 60,1 a 300 milhoes",2021-06-07,2,0,2.33,2021,805585.461301426,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Servicos Especializados",72,358881.14,0.418721833495303,681
"12",12545,"Novo",2021-04-28,"De 501 a 1 bilhão",2021-06-07,1,0,0,2021,828549.995140884,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Associações Fed. Fundações e Entidades De Classe",141,237834.17,0.625458,24
"13",12549,"Novo",2021-04-29,"De 60,1 a 300 milhoes",2021-06-07,1,0,0,2021,2471297.14897582,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Serviços Financeiros",507,870332.72,0.540479028511088,740
"14",11358,"Novo",2020-08-25,"De 501 a 1 bilhão",2021-06-08,1,0,0,2021,2467105.47523562,"Publico",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Administracao Publica",451,1073687.93,0.411065548367931,643
"15",12288,"Novo",2021-03-17,"De 301 a 500 milhões",2021-06-08,1,0,0,2021,391604.043688193,"Publico",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Serviços","Transporte e Logística",76,135665.14,0.547971211995002,635
"16",12620,"Renovação",2021-05-11,"De 1 a 5 bilhões",2021-06-08,6,4,1.33,2021,566147.560303502,"Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"Serviços","Servicos Especializados",136,174286.56,0.598320884084859,189
"17",12754,"Novo",2021-06-01,"De 1 a 5 bilhões",2021-06-10,16,11,0.93,2021,2770318.8919199,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Internacional & Outros","Ind de Alimentos e Bebidas",587,900589.42,0.636272447495961,503
"18",12027,"Novo",2021-01-29,"De 15,1 a 60 milhões",2021-06-15,1,0,0,2021,1219756.46002655,"Publico",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Administracao Publica",192,657954.67,0.296169894898517,20
"19",12762,"Renovação",2021-06-02,"De 1 a 5 bilhões",2021-06-15,3,1,3.37,2021,169624.410392237,"Sem Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Agronegócio",27,83138.89,0.360470076923077,600
"20",12499,"Novo",2021-04-20,"De 1 a 5 bilhões",2021-06-17,1,0,0,2021,3557375.8876114,"RFP",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Saúde, Educação e Serviços Públicos","Ensino/Educação",1142,1569373.35,0.42437253009478,850
"21",11618,"Recuperação",2020-10-08,"Acima de 5 bilhões",2021-06-18,3,1,1,2021,1629249.60299689,"Sem Concorrência",0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"Bens Duráveis","Demais Ind.",534,596987.52,0.52189573122367,672
"22",12788,"Recuperação",2021-06-08,"De 501 a 1 bilhão",2021-06-21,2,0,4.87,2021,260960.627069331,"Sem Concorrência",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Infraestrutura e Indústria de Base","Químico Petroquímico e Embalagens",62,114275.74,0.4286213,387
"23",12369,"Renovação",2021-04-01,"De 501 a 1 bilhão",2021-06-23,3,1,6.23,2021,2237737.39250396,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",545,649759.07,0.621131737609329,769
"24",12420,"Recuperação",2021-04-13,"De 1 a 5 bilhões",2021-06-23,2,0,35.53,2021,2715494.32580356,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Infraestrutura e Indústria de Base","Siderurgia e Mineração",128,1311946.33,0.369605865019502,35
"25",12480,"Novo",2021-04-19,"De 60,1 a 300 milhoes",2021-06-23,1,0,0,2021,615377.782938589,"Sem Concorrência",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Agronegócio",182,283894.24,0.398050909090909,581
"26",12603,"Novo",2021-05-07,"De 15,1 a 60 milhões",2021-06-23,2,0,2.07,2021,459290.710355235,"Sem Concorrência",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Serviços Financeiros",77,135478.99,0.615116505681818,87
"27",12701,"Renovação",2021-05-25,"Acima de 5 bilhões",2021-06-24,3,1,8.97,2021,698174.066461236,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Bens Duráveis","Demais Ind.",190,256832.04,0.588410192307692,188
"28",12593,"Novo",2021-05-05,"De 501 a 1 bilhão",2021-06-25,1,0,0,2021,490400.149567243,"Concorrência",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Serviços Médicos",77,202855.51,0.460264219895448,670
"29",12832,"Renovação",2021-06-15,"De 60,1 a 300 milhoes",2021-06-25,2,1,2.63,2021,1678303.04437797,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",599,626118.27,0.513221947521866,771
"30",11964,"Recuperação",2021-01-19,"De 60,1 a 300 milhoes",2021-06-28,3,1,21.9,2021,652401.573267672,"Sem Concorrência",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"Bens Não Duráveis","Ind de Alimentos e Bebidas",125,252316.42,0.49536716,761
"31",12465,"Renovação",2021-04-16,"Acima de 5 bilhões",2021-06-28,19,6,1.8,2021,1062925.26143938,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Serviços","Energia",249,361622.86,0.556086714746049,266
"32",12122,"Novo",2021-02-16,"De 501 a 1 bilhão",2021-06-29,1,0,0,2021,711600.490816259,"Concorrência",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Serviços Médicos",184,307763.15,0.435680088747089,474
"33",12456,"Novo",2021-04-15,"De 1 a 5 bilhões",2021-06-29,1,0,0,2021,2926673.45244247,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Infraestrutura e Indústria de Base","Siderurgia e Mineração",559,881477.34,0.607009656709764,186
"34",12610,"Novo",2021-05-10,"De 301 a 500 milhões",2021-06-29,1,0,0,2021,760830.713451346,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Ind de Alimentos e Bebidas",205,206935.81,0.645110941519465,166
"35",12665,"Novo",2021-05-19,"Acima de 5 bilhões",2021-06-29,1,0,0,2021,447547.478500792,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Bens Duráveis","Demais Ind.",105,135148.47,0.605981137026239,54
"36",12839,"Renovação",2021-06-17,"De 301 a 500 milhões",2021-06-29,6,3,2,2021,156576.376241599,"Sem Concorrência",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",40,50407.72,0.579935666666667,825
"37",11614,"Novo",2020-10-07,"De 1 a 5 bilhões",2021-06-30,1,0,0,2021,651096.770971476,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Duráveis","Demais Ind.",134,220901.91,0.557310801603206,843
"38",12387,"Novo",2021-04-07,"De 60,1 a 300 milhoes",2021-06-30,1,0,0,2021,550626.927032329,"Sem Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Ensino/Educação",125,170395.19,0.596219928909953,755
"39",12624,"Novo",2021-05-11,"De 15,1 a 60 milhões",2021-06-30,1,0,0,2021,519311.649546272,"Sem Concorrência",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Servicos Especializados",89,153214.1,0.615039949748744,687
"40",12656,"Renovação",2021-05-18,"De 301 a 500 milhões",2021-06-30,14,5,3.33,2021,1634667.16522414,"Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Saúde, Educação e Serviços Públicos","Associações Fed. Fundações e Entidades De Classe",312,534492.88,0.573363920634255,334
"41",12728,"Novo",2021-05-28,"De 1 a 5 bilhões",2021-06-30,1,0,0,2021,228340.547287079,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Duráveis","Ind. Farmacêutica",102,131218.06,0.250182514285714,551
"42",12861,"Renovação",2021-06-21,"De 60,1 a 300 milhoes",2021-06-30,3,2,4.27,2021,290905.861025515,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Bens Duráveis","Demais Ind.",53,98888.64,0.556453734021081,195
"43",12904,"Renovação",2021-06-29,"De 1 a 5 bilhões",2021-06-30,14,11,2.6,2021,559434.359314677,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Siderurgia e Mineração",118,153213.01,0.642651880054767,574
"44",11932,"Renovação",2021-01-08,"Acima de 5 bilhões",2021-07-01,10,4,2.43,2021,1573686.6499467,"RFP",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Serviços","Energia",315,481733.48,0.604374426148729,284
"45",12834,"Renovação",2021-06-16,"De 1 a 5 bilhões",2021-07-01,5,1,1.93,2021,443292.014069493,"RFP",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Energia",92,194764.39,0.432173790087464,170
"46",12810,"Renovação",2021-06-10,"Acima de 5 bilhões",2021-07-02,2,1,3.37,2021,624815.572252406,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Bens Não Duráveis","Comércio de Alimentos e Bebidas",117,261227.17,0.459666008211726,147
"47",12473,"Recuperação",2021-04-18,"De 1 a 5 bilhões",2021-07-06,4,0,8.3,2021,554115.017586866,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Bens Não Duráveis","Ind de Alimentos e Bebidas",102,198013.45,0.538161049562682,349
"48",12771,"Novo",2021-06-07,"De 15,1 a 60 milhões",2021-07-06,1,0,0,2021,753467.182131435,"Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Tecnologia",75,251470.2,0.568661749571184,463
"49",10176,"Recuperação",2019-11-06,"De 60,1 a 300 milhoes",2021-07-07,8,2,6.7,2021,330252.550481772,"Concorrência",0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Siderurgia e Mineração",222,104883.37,0.58955379889252,692
"50",11554,"Novo",2020-09-25,"De 301 a 500 milhões",2021-07-07,2,1,12.1,2021,977051.78271981,"Concorrência",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Transporte e Logística",146,279697.31,0.630030013227513,791
"51",11768,"Renovação",2020-11-17,"Acima de 5 bilhões",2021-07-07,29,13,5.83,2021,17790628.6482266,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bens Não Duráveis","Ind de Alimentos e Bebidas",4316,6042709.03,0.623582068218312,144
"52",12190,"Renovação",2021-03-01,"Acima de 5 bilhões",2021-07-07,22,16,2.27,2021,185074.415874013,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Bens Não Duráveis","Ind de Alimentos e Bebidas",14,82538.99,0.423620467519771,122
"53",12616,"Recuperação",2021-05-10,"De 60,1 a 300 milhoes",2021-07-07,2,0,0.27,2021,344659.54093903,"Concorrência",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Associações Fed. Fundações e Entidades De Classe",109,138916.63,0.4790935663195,731
"54",11598,"Novo",2020-10-05,"De 60,1 a 300 milhoes",2021-07-08,1,0,0,2021,443292.014069493,"Sem Concorrência",0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Associações Fed. Fundações e Entidades De Classe",96,138169.9,0.59717191564645,710
"55",12789,"Novo",2021-06-08,"De 60,1 a 300 milhoes",2021-07-08,1,0,0,2021,587361.918642078,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serviços","Energia",151.5,195830.57,0.569105957423401,470
"56",12914,"Renovação",2021-06-30,"De 60,1 a 300 milhoes",2021-07-08,8,5,5.23,2021,33473.0686407902,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Bens Não Duráveis","Ind de Alimentos e Bebidas",1,17351.12,0.330072586872587,282
"57",11978,"Recuperação",2021-01-20,"Acima de 5 bilhões",2021-07-09,2,0,8.47,2021,1489461.1672735,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Saúde, Educação e Serviços Públicos","Serviços Médicos",369,598931.47,0.480310747258087,185
"58",12817,"Novo",2021-06-11,"De 1 a 5 bilhões",2021-07-09,1,0,0,2021,1224355.74209261,"Sem Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,"Saúde, Educação e Serviços Públicos","Serviços Médicos",239,368076.51,0.611468470570104,592
"59",12859,"Novo",2021-06-21,"De 1 a 5 bilhões",2021-07-09,4,3,0.57,2021,1172904.1235664,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Demais Comercios",109,139257.18,0.548085638564581,345
"60",12959,"Renovação",2021-07-08,"Acima de 5 bilhões",2021-07-09,31,22,7.57,2021,797119.953171816,"Sem Concorrência",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Internacional & Outros","Servicos Especializados",103,433178.96,0.397754463218354,514
"61",10469,"Novo",2020-01-30,"De 1 a 5 bilhões",2021-07-13,2,0,39.8,2021,4100451.13014281,"Publico",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Infraestrutura e Indústria de Base","Saneamento e Infra",656,1240865.51,0.608899059175794,204
"62",12330,"Novo",2021-03-25,"De 1 a 5 bilhões",2021-07-13,3,0,0.7,2021,1277453.60308916,"Concorrência",0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Serviços Financeiros",236,402590.49,0.592700232703563,633
"63",12693,"Renovação",2021-05-25,"Acima de 5 bilhões",2021-07-13,30,13,0.2,2021,346876.001009378,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Internacional & Outros","Ind de Alimentos e Bebidas",74,93783.75,0.650578898834751,144
"64",12846,"Novo",2021-06-17,"De 301 a 500 milhões",2021-07-13,2,0,1.63,2021,417444.077856514,"Sem Concorrência",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Serviços","Serviços Financeiros",62,116800.35,0.638389009287926,577
"65",12481,"Novo",2021-04-19,"De 1 a 5 bilhões",2021-07-15,1,0,0,2021,1483752.65219771,"Concorrência",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Bens Não Duráveis","Agronegócio",297,469841.68,0.590752702595589,30
"66",12670,"Renovação",2021-05-20,"De 501 a 1 bilhão",2021-07-15,9,5,3.83,2021,66050.5100963544,"Sem Concorrência",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Infraestrutura e Indústria de Base","Incorporação e Construção",9,30984.47,0.393733343768955,340
